Column1	Column2	Column3	Column4	Column5	Column6
SpeciesFile ContamW 2.0					
					
1/1	!start-of-file date				
31-Dec	!end-of-file date				
4					
PM2.5					
NO2					
SO2					
CO					
					
					
!Date	Time	PM2.5	NO2	SO2	CO
10/31	24:00:00	2.47842E-18	5.63953E-09	1.36213E-09	1.36213E-06
11/1	24:00:00	2.01486E-18	6.62791E-09	1.86877E-09	1.86877E-06
11/2	24:00:00	1.75828E-18	7.21761E-09	1.27076E-09	1.27076E-06
11/3	24:00:00	2.39647E-18	7.61628E-09	2.3588E-09	2.3588E-06
11/4	24:00:00	2.24209E-18	7.89037E-09	2.12625E-09	2.12625E-06
11/5	24:00:00	3.22438E-18	9.72591E-09	1.88538E-09	1.88538E-06
11/6	24:00:00	3.78062E-18	1.01246E-08	1.85216E-09	1.85216E-06
11/7	24:00:00	2.73038E-18	1.11794E-08	2.61628E-09	2.61628E-06
11/8	24:00:00	4.54262E-18	1.37542E-08	2.16777E-09	2.16777E-06
11/9	24:00:00	1.08992E-18	1.22425E-08	2.75748E-09	2.75748E-06
11/10	24:00:00	1.2087E-18	1.05648E-08	1.37874E-09	1.37874E-06
11/11	24:00:00	1.69699E-18	1.79319E-08	2.25083E-09	2.25083E-06
11/12	24:00:00	1.78343E-18	2.09385E-08	2.10133E-09	2.10133E-06
11/13	24:00:00	2.35299E-18	2.27658E-08	1.3206E-09	1.3206E-06
11/14	24:00:00	1.11656E-18	2.25083E-08	6.14618E-10	6.14618E-07
11/15	24:00:00	4.66275E-19	2.26661E-08	6.56146E-10	6.56146E-07
